Lower Super Output Area Code,Lower Super Output Area Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Employment Rank,Emplyment Decile,Education Skills And Training Rank,Education Skills And Training Decile,Health Deprivation And Disability Rank,Health Deprivation And Disability Decile,Crime Rank,Crime Decile,Barriers To Housing And Services Rank,Barriers To Housing And Services Decile,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Index Rank,Income Deprivation Affecting Older People Index Decile,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population Mid 2012,Dependent Children Aged 0-15 Mid 2012,Population Aged 16-59 Mid 2012,Older population Aged 60 And Over Mid 2012,Working Age Population 18-59_64,Income Domain Numerator,Income Deprivation Affecting Children Index Numerator,Income Deprivation Affecting Older People Index Numerator,Employment Domain Numerator,Staying On In Education Post 16 Indicator,Entry To Higher Education Indicator,Combined Adult Skills And English Language Proficiency,Years Of Potential Life Lost Indicator,Comparative Illness And Disability Ratio Indicator,Acute Morbidity Indicator,Mood And Anxiety Disorders Indicator,Household Overcrowding Indicator,Housing Affordability Indicator,Housing In Poor Condition Indicator,Houses Without Central Heating Indicator,Air Quality Indicator,Road Traffic Accidents Indicator,,,,
E01000843,Camden 014A,15915,5,11383,4,21407,7,21342,7,24784,8,16990,6,15905,5,2288,1,7513,3,17177,6,13310,5,31815,10,29326,9,5717,2,4453,2,1871,1,1775,354,1152,269,1176,285,100,35,85,0,1,0,49,83,88,0,0,1,0,0,2,1,,,,
E01000844,Camden 011B,19087,6,25807,8,25996,8,20151,7,25678,8,17816,6,18436,6,627,1,31632,10,14625,5,11525,4,32632,10,20574,7,9944,4,2059,1,1274,1,1823,310,1257,256,1283,105,40,75,0,1,0,54,84,80,0,0,0,0,0,2,1,,,,,
E01000845,Camden 014B,21173,7,19616,6,27758,9,26050,8,24495,8,8197,3,23828,8,4997,2,15331,5,15656,5,19637,6,31886,10,28294,9,10622,4,9903,4,1670,1,1512,204,1046,262,1065,135,30,40,55,0,1,0,50,88,84,0,0,0,0,0,2,1,,,,
E01000856,Camden 019A,4833,2,4747,2,7428,3,19883,7,5388,2,525,1,9835,3,3240,1,3088,1,3689,2,19120,6,19268,6,31008,10,3172,1,12180,4,192,1,1676,354,1138,184,1128,445,140,65,190,0,1,0,58,149,153,1,0,4,0,0,2,2,,,,
E01000857,Camden 018A,17464,6,11847,4,15754,5,30724,10,18940,6,17470,6,24372,8,6148,2,13956,5,10660,4,28018,9,31676,10,31897,10,9759,3,12376,4,1619,1,1496,286,920,290,945,235,50,60,95,0,1,0,54,103,92,0,0,1,0,0,2,1,,,,
E01000858,Camden 018B,2960,1,1758,1,3685,2,18609,6,8245,3,63,1,7235,3,7305,3,313,1,1185,1,20644,7,15774,5,23736,8,3122,1,21901,7,553,1,1933,372,1361,200,1341,680,210,95,300,0,1,0,53,183,118,1,0,4,0,0,2,2,,,,
E01000860,Camden 018D,12856,4,10238,4,14557,5,26193,8,16770,6,8653,3,11863,4,4331,2,22819,7,3468,2,20539,7,30878,10,31185,10,3842,2,8520,3,1678,1,1287,175,692,420,742,225,15,155,80,0,1,0,64,94,95,0,0,2,0,0,2,1,,,,
E01000861,Camden 019B,6012,2,8482,3,10186,4,24822,8,12260,4,430,1,11802,4,106,1,4664,2,5172,2,20219,7,28224,9,31602,10,3764,2,1832,1,40,1,1496,181,1145,170,1150,295,65,55,160,0,1,0,64,137,106,0,0,2,0,0,2,3,,,,
E01000863,Camden 021A,5313,2,8666,3,9050,3,16507,6,6304,2,476,1,13099,4,553,1,7499,3,5887,2,8364,3,30409,10,27958,9,4811,2,3648,2,133,1,1464,156,1145,163,1174,285,45,50,175,0,1,0,77,134,125,0,0,2,0,0,2,3,,,,
E01000867,Camden 015C,4491,2,3574,2,6074,2,12065,4,5501,2,6280,2,7335,3,1899,1,2618,1,1390,1,7073,3,20022,7,27978,9,2627,1,7189,3,287,1,1433,291,938,204,963,420,120,95,180,0,1,0,72,165,127,0,0,4,0,0,2,2,,,,
